Platform Calibration Result
platformId=mac_os_x-aarch64-oracle_corporation-16c
createdAt=2026-04-28T03:21:13.004220+02:00
persisted=false
outputProfilePath=n/a
profileName=platform-f32-forward-backward-calibration
dataType=FLOAT32
mode=FORWARD_BACKWARD
seedRuntimeProfile=mac_os_x-aarch64-oracle_corporation-16c
finalRuntimeProfile=mac_os_x-aarch64-oracle_corporation-16c

Hardware
os=mac_os_x
arch=aarch64
vm=openjdk_64-bit_server_vm
vendor=oracle_corporation
cores=16

Steps
name                   family             seedRuntime        selectedExec       score        metric            
calib-f32-scheduler-p2 SCHEDULER          mac_os_x-aarch64-oracle_corporation-16c base+scheduler=5/1/2 2.799659     averageMedianMs   
calib-f32-matmul-p2-java MATMUL             mac_os_x-aarch64-oracle_corporation-16c base+matmulMicroKernel=F32_4X4+matmulTiles=32x64x64+matmulParallel=2000000 2.719164     averageMedianMs   
calib-f32-matmul-p2-blas MATMUL             mac_os_x-aarch64-oracle_corporation-16c base+blasProvider=NONE+matmulShape=false/3.0 0.574092     averageMedianMs   
calib-f32-matmul-p2-blas-wide MATMUL             mac_os_x-aarch64-oracle_corporation-16c base+matmulWideShape=false/6.0 4.263634     weightedGeometricMeanWithWorstBucketPenalty
calib-f32-attention-matmul-p2 ATTENTION_MATMUL   mac_os_x-aarch64-oracle_corporation-16c base+attentionMatmulMicroKernel=F32_4X4+attentionMatmulTiles=64x128x64 3.479252     weightedGeometricMeanWithWorstBucketPenalty
calib-f32-conv2d-gemm-dispatch-p2 CONV2D_GEMM_DISPATCH mac_os_x-aarch64-oracle_corporation-16c base+conv2dBlasProvider=NONE+conv2dShape=false/1.5 n/a          weightedGeometricMeanWithWorstBucketPenalty
calib-f32-elementwise-dispatch-p2 ELEMENTWISE_DISPATCH mac_os_x-aarch64-oracle_corporation-16c base+elementwiseDispatch=256/128/16384/4096 2.773258     averageMedianMs   
calib-f32-fused-dispatch-p2 FUSED_DISPATCH     mac_os_x-aarch64-oracle_corporation-16c base+fusedDispatch=128/128/16384/4096 0.873216     averageMedianMs   
calib-f32-fused-cheap-contiguous-width-p2 FUSED_CHEAP_CONTIGUOUS_WIDTH mac_os_x-aarch64-oracle_corporation-16c base+fusedAsmVectorWidth[cheap-contiguous]=1 0.869094     averageMedianMs   
calib-f32-fused-cheap-strided-width-p2 FUSED_CHEAP_STRIDED_WIDTH mac_os_x-aarch64-oracle_corporation-16c base+fusedAsmVectorWidth[cheap-strided]=4 1.453849     averageMedianMs   
calib-f32-fused-noncheap-contiguous-width-p2 FUSED_NON_CHEAP_CONTIGUOUS_WIDTH mac_os_x-aarch64-oracle_corporation-16c base+fusedAsmVectorWidth[noncheap-contiguous]=1 1.022958     averageMedianMs   
calib-f32-fused-noncheap-strided-width-p2 FUSED_NON_CHEAP_STRIDED_WIDTH mac_os_x-aarch64-oracle_corporation-16c base+fusedAsmVectorWidth[noncheap-strided]=2 5.718302     averageMedianMs   
calib-f32-reduction-p2 REDUCTION          mac_os_x-aarch64-oracle_corporation-16c base+reductionThresholds=512/16384 0.601414     averageMedianMs   
calib-f32-attention-thresholds-p2 ATTENTION_THRESHOLDS mac_os_x-aarch64-oracle_corporation-16c base+attentionThresholds=8192/32768 3.466570     weightedGeometricMeanWithWorstBucketPenalty
calib-f32-materialization-p2 MATERIALIZATION    mac_os_x-aarch64-oracle_corporation-16c base+contiguous-materialization=262144+materialization=131072 5.911432     averageMedianMs   
calib-f32-materialization-p2-where MATERIALIZATION    mac_os_x-aarch64-oracle_corporation-16c base+where-materialization=524288 7.863832     averageMedianMs   
